Tract,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,Label,Community Area,Layer,Name,HCSDIAP_2016-2018,HCSDIAP_2016-2018_moe
17031835800,1576,654,0,0.0,0.0,0,0,0,0,0,1,42.6,0,0,0,0,0,0,0,0,1114.0,415.0,85.0,42.0,1481.0,2.0,0.0,7.0,44.0,30.0,101.0,240.0,"Census Tract 8358, Cook County, Illinois",38,Community area,Grand Boulevard,5.3,3.23124999953
17031835900,3271,1496,0,20.0,0.61,0,0,0,0,0,1,43.0,0,0,0,0,0,0,0,0,2144.0,880.0,475.0,53.0,3135.0,7.0,0.0,1.0,75.0,54.0,751.0,665.0,"Census Tract 8359, Cook County, Illinois",38,Community area,Grand Boulevard,5.3,3.23124999953
17031836000,2177,850,0,0.0,0.0,0,0,0,0,0,1,29.4,0,0,0,0,0,0,0,0,1040.0,613.0,143.0,60.0,2060.0,14.0,0.0,4.0,39.0,30.0,172.0,332.0,"Census Tract 8360, Cook County, Illinois",38,Community area,Grand Boulevard,5.3,3.23124999953
17031836200,1529,130,1,1219.0,79.73,0,0,0,0,0,1,21.1,0,0,0,0,0,0,0,0,95.0,44.0,47.0,1019.0,77.0,309.0,0.0,3.0,121.0,128.0,30.0,0.0,"Census Tract 8362, Cook County, Illinois",41,Community area,Hyde Park,1.7,1.426785714655
17031836300,1288,631,0,35.0,2.72,0,0,0,0,0,1,25.9,0,0,0,0,0,0,0,0,568.0,199.0,138.0,336.0,841.0,57.0,0.0,1.0,53.0,47.0,191.0,99.0,"Census Tract 8363, Cook County, Illinois",41,Community area,Hyde Park,1.7,1.426785714655
17031836600,2997,1002,0,6.0,0.2,0,0,0,0,0,1,17.7,0,0,0,0,0,0,0,0,1122.0,858.0,234.0,946.0,1293.0,25.0,1.0,16.0,716.0,1475.0,116.0,322.0,"Census Tract 8366, Cook County, Illinois",23,Community area,Humboldt Park,12.8,5.749107142555
17031836700,2397,788,0,0.0,0.0,0,0,0,0,0,1,38.8,0,0,0,0,0,0,0,0,1655.0,793.0,198.0,157.0,2043.0,5.0,1.0,10.0,181.0,258.0,314.0,375.0,"Census Tract 8367, Cook County, Illinois",23,Community area,Humboldt Park,12.8,5.749107142555
17031836800,2661,1028,0,27.0,1.01,0,1,0,1,1,1,68.5,0,1,0,1,0,0,0,1,1821.0,800.0,242.0,119.0,2482.0,8.0,0.0,3.0,49.0,83.0,437.0,514.0,"Census Tract 8368, Cook County, Illinois",27,Community area,East Garfield Park,10.9,5.833035713715
17031836900,1442,494,0,0.0,0.0,0,1,0,1,1,1,40.7,0,1,0,1,0,0,0,1,990.0,478.0,80.0,109.0,1240.0,10.0,0.0,1.0,82.0,99.0,213.0,201.0,"Census Tract 8369, Cook County, Illinois",27,Community area,East Garfield Park,10.9,5.833035713715
17031837000,2085,784,0,7.0,0.34,0,1,0,1,1,1,47.9,0,1,0,1,0,0,0,1,1298.0,626.0,151.0,99.0,1908.0,6.0,0.0,7.0,65.0,78.0,388.0,415.0,"Census Tract 8370, Cook County, Illinois",27,Community area,East Garfield Park,10.9,5.833035713715
17031837100,1819,719,0,64.0,3.52,0,1,0,1,1,1,24.2,0,1,0,1,0,0,0,1,860.0,451.0,276.0,188.0,1531.0,12.0,0.0,6.0,82.0,138.0,330.0,183.0,"Census Tract 8371, Cook County, Illinois",27,Community area,East Garfield Park,10.9,5.833035713715
17031837300,2483,703,0,323.0,13.01,0,0,0,0,0,1,33.4,0,0,0,0,0,0,0,0,1516.0,694.0,167.0,150.0,2255.0,22.0,0.0,2.0,54.0,116.0,268.0,275.0,"Census Tract 8373, Cook County, Illinois",27,Community area,East Garfield Park,10.9,5.833035713715
17031837400,2279,709,0,174.0,7.63,0,1,0,0,0,1,43.3,0,1,0,1,0,0,0,0,1461.0,706.0,155.0,186.0,1965.0,23.0,0.0,4.0,101.0,170.0,269.0,334.0,"Census Tract 8374, Cook County, Illinois",27,Community area,East Garfield Park,10.9,5.833035713715
17031837800,2796,973,0,320.0,11.44,0,0,0,0,0,1,32.1,0,0,0,0,0,0,0,0,1178.0,757.0,112.0,402.0,2132.0,102.0,3.0,4.0,153.0,207.0,214.0,225.0,"Census Tract 8378, Cook County, Illinois",28,Community area,Near West Side,7.0,3.23124999953
17031838000,2561,1266,0,0.0,0.0,0,0,0,0,0,1,36.4,0,0,0,0,0,0,0,0,1539.0,560.0,384.0,454.0,1830.0,110.0,3.0,12.0,152.0,199.0,568.0,467.0,"Census Tract 8380, Cook County, Illinois",28,Community area,Near West Side,7.0,3.23124999953
17031838100,1713,1064,0,20.0,1.17,0,1,0,1,1,1,36.9,0,1,0,1,0,0,0,1,959.0,166.0,341.0,412.0,850.0,377.0,4.0,5.0,65.0,93.0,656.0,444.0,"Census Tract 8381, Cook County, Illinois",28,Community area,Near West Side,7.0,3.23124999953
17031838200,1578,441,0,555.0,35.17,0,1,0,1,1,1,34.5,0,1,0,1,0,0,0,1,489.0,174.0,73.0,729.0,219.0,405.0,1.0,8.0,216.0,316.0,157.0,31.0,"Census Tract 8382, Cook County, Illinois",28,Community area,Near West Side,7.0,3.23124999953
17031838300,1631,676,0,127.0,7.79,0,0,0,0,0,0,19.2,0,0,0,0,0,0,0,0,380.0,302.0,88.0,480.0,861.0,157.0,3.0,8.0,122.0,173.0,197.0,105.0,"Census Tract 8383, Cook County, Illinois",8,Community area,Near North Side,4.1,2.433928571865
17031838600,1598,506,0,204.0,12.77,0,0,0,0,0,1,51.2,0,0,0,0,0,0,0,0,1215.0,495.0,167.0,74.0,1481.0,4.0,0.0,2.0,37.0,66.0,303.0,292.0,"Census Tract 8386, Cook County, Illinois",29,Community area,North Lawndale,9.0,4.1125
17031838700,4484,1429,0,1.0,0.02,0,0,0,0,0,1,45.1,0,0,0,0,0,0,0,0,3090.0,1571.0,365.0,54.0,4350.0,5.0,0.0,13.0,62.0,84.0,740.0,881.0,"Census Tract 8387, Cook County, Illinois",29,Community area,North Lawndale,9.0,4.1125
17031838800,3233,1087,0,1.0,0.03,1,1,1,1,1,1,42.5,1,1,1,1,1,0,0,1,1906.0,1059.0,355.0,685.0,1772.0,3.0,0.0,17.0,756.0,1331.0,343.0,495.0,"Census Tract 8388, Cook County, Illinois",51,Community area,South Deering,19.7,9.651785714655
17031839200,2545,1494,0,3.0,0.12,0,1,0,1,1,1,22.8,0,1,0,1,0,0,0,1,1067.0,363.0,390.0,269.0,1834.0,334.0,0.0,16.0,92.0,77.0,511.0,220.0,"Census Tract 8392, Cook County, Illinois",35,Community area,Douglas,3.8,2.811607142085
17031839500,1545,783,0,176.0,11.39,0,0,0,0,0,1,32.5,0,0,0,0,0,0,0,0,641.0,179.0,472.0,171.0,1257.0,79.0,0.0,5.0,33.0,23.0,266.0,243.0,"Census Tract 8395, Cook County, Illinois",35,Community area,Douglas,3.8,2.811607142085
17031839600,1952,878,0,221.0,11.32,0,0,0,0,0,1,13.3,0,0,0,0,0,0,0,0,545.0,334.0,492.0,90.0,1789.0,18.0,1.0,3.0,51.0,64.0,341.0,176.0,"Census Tract 8396, Cook County, Illinois",35,Community area,Douglas,3.8,2.811607142085
17031839700,4326,1714,0,0.0,0.0,0,1,0,1,1,1,20.6,0,1,0,1,0,0,0,1,1648.0,957.0,404.0,2440.0,117.0,717.0,0.0,44.0,1008.0,1778.0,485.0,283.0,"Census Tract 8397, Cook County, Illinois",60,Community area,Bridgeport,9.8,5.03571428605
